Title,Directors,Year
Western,Valeska Grisebach,2016
Ali et Nino,Asif Kapadia,2015
Maps to the Stars,"David Cronenberg,David Cronenberg",2013
"Aimer, boire et chanter","Alain Resnais,Alain Resnais",2013
Le Passé,Asghar Farhadi,2013
Closet Monster,Stephen Dunn,2015
Simon et Théodore,Mikael Buch,2016
Diane a les épaules,Fabien Gorgeart,2016
Brooklyn Yiddish,Joshua Z. Weinstein,2016
Téhéran Tabou,"Ali Soozandeh,Bruno Wagner",2016
En attendant les hirondelles,Karim Moussaoui,2016
One Deep Breath,Antony Hickling,2014
Se brûler les ailes,D.M.W. Greer,2013
Sur les traces de Sarah Kane,Jacky Katu,2015
C'est entre nous,Claudia Lorenz,2015
Prendre le large,Gaël Morel,2016
Best of Chéries Chéris volume 5,"Ricky Mastro,Franck Villette,Emma Benestan,Pierre Scot,Simon Guélat,Gilles Tillet",2017
La Machine à tuer les méchants,"Roberto Rossellini,Roberto Rossellini",1952
After,Géraldine Maillet,2012
Logan Lucky,Steven Soderbergh,2017
The Party,Sally Potter,2017
Ainsi va la vie,Rob Reiner,2014
Kiss & Cry,"Chloé Mahieu,Lila Pinell",2016
Même pas mal,"Maxim Roy,Jeremy Trequesser,Maxime Roy",2017
Jeune femme,Léonor Serraille,2017
Laissez bronzer les cadavres,"Hélène Cattet,Bruno Forzani",2016
Best of Chéries Chéris volume 4,"Fábio Leal,Ricky Mastro,Denisse Quintero,Rodrigo Alvarez Flores,Simone Bozzelli,Marco Leão,André Santos",2016
Le Jeune Karl Marx,Raoul Peck,2017
L'Atelier,Laurent Cantet,2016
Grandeur et décadence d'un petit commerce de cinéma,Jean-Luc Godard,1985
Nuit bleue,Ange Leccia,2009
Le choix des armes,Alain Corneau,1981
Un beau soleil intérieur,Claire Denis,2017
Lola Pater,Nadir Moknèche,2017
L'heure d'été,Olivier Assayas,2006
Beach Rats,Eliza Hittman,2017
Les Filles d'Avril,Michel Franco,2016
A ciambra,Jonas Carpignano,2016
Mon garçon,Christian Carion,2017
The Double,Richard Ayoade,2013
L'Épreuve d'amour,Arnaud Sélignac,2016
A Serious Game,Pernilla August,2016
Détective,Jean-Luc Godard,1984
La Vengeresse,"Bill Plympton,Jim Lujan",2016
Le Capitaine rouge,Michal Kollar,2015
Bientôt les jours heureux,Alessandro Comodin,2015
Un vent de liberté,Behnam Behzadi,2015
Après la tempête,Hirokazu Kore-Eda,2015
Cold Hell,Stefan Ruzowitzky,2017
La Papesse Jeanne,Jean Breschand,2016
King Cobra,Justin Kelly,2016
Elle et moi,Maria Sole Tognazzi,2015
Lettre d'une inconnue,Max Ophüls,1947
Un secret de trop,"Sasha King,Brian O'Donnell",2015
Relaxer,Joel Potrykus,2018
Django tire le premier,Alberto De Martino,1966
Les Liens du sang,Manuel Martín Cuenca,2021
Ninja in Action : le gang des crapules,Godfrey Ho,1987
Les Rois du gag,Claude Zidi,1984
L'Au-delà,Lucio Fulci,1981
Le Sang de Fu Manchu,Jesús Franco,1968
Fête sanglante,Amy Holden Jones,1982
Ned Kelly,Gregor Jordan,2002
La Montagne mystérieuse,"Ismael Rodríguez,Edward Nassour",1956
L'Enfer des zombies,Lucio Fulci,1979
Les Bronzés font du ski,Patrice Leconte,1979
Mine de rien,Mathias Mlekuz,2019
Bagdad Café,Percy Adlon,1987
Adorables,Solange Cicurel,2020
Possum,Matthew Holness,2018
Bébé vampire,John Hayes,1975
Le Prix du succès,Teddy Lussi-Modeste,2016
Le Secret derrière la porte,Fritz Lang,1948
Avant la fin de l'été,Maryam Goormaghtigh,2016
Bonne pomme,Florence Quentin,2016
Drôles d'oiseaux,Élise Girard,2016
Dream Boat,Tristan Ferland Milewski,2016
Quai des orfèvres,Henri-Georges Clouzot,1947
La Vie de château,"Modi Barry,Cédric Ido",2016
Transfiguration,Michael O'Shea,2016
Heis (chroniques),Anaïs Volpé,2016
Petite Amie,Michal Vinik,2016
Tirez sur le pianiste,François Truffaut,1960
La Planète des vampires,Mario Bava,1964
Le Cuirassé Potemkine,Sergueï Eisenstein,1925
La Grève,Sergueï Eisenstein,1924
Baisers volés,François Truffaut,1968
Les Deux Anglaises et le Continent,François Truffaut,1971
Vénus noire,Abdellatif Kechiche,2010
Le Cabinet du Docteur Caligari,Robert Wiene,1922
Fahrenheit 451,François Truffaut,1966
La guerre est finie,Alain Resnais,1965
Renoir,Gilles Bourdos,2012
Les Âmes noires,Francesco Munzi,2013
Mauvaise graine,Claudio Caligari,2015
Par amour,Giuseppe M. Gaudino,2014
Le Cadeau d'Elena,Frédéric Graziani,2003
La Squale,Fabrice Genestal,1999
Conspiration,Robert Connolly,2009
The Wee Man,Ray Burdis,2013
Affamés,Steven Hentges,2009
Johanna,Kornel Mundruczó,2005
Tender Son : The Frankenstein Project,Kornel Mundruczó,2009
Les Engagés,"Maxime Potherat,Jules Thénier",2017
Alaska,Claudio Cupellini,2015
Été 93,Carla Simón,2016
One Kiss,Ivan Cotroneo,2016
7 Below,Kevin Carraway,2012
La Terre penche,Christelle Lheureux,2015
Tom of Finland,Dome Karukoski,2016
Ikarie XB 1,Jindrich Polak,1963
Where Horses Go to Die,Antony Hickling,2015
Center of my World,Jakob M. Erwa,2015
Entre deux rives,Kim Ki-duk,2016
Best of Chéries Chéris volume 3,"Anna Cazenave Cambet,Xavier Sirven,Leandro Goddinho,Lisa Donato,Charline Bourgeois-Tacquet,Réda Ait,More Raca",2017
Best of Chéries Chéris volume 2,"Jordi Estrada,Marcio Miranda Perez,Lukas Dhont,Mitchell Marion,Dean Loxton",2017
Best of Chéries Chéris volume 1,"Loic Dimitch,Arthur Cahn,Benoît Duvette,Benjamin Wacksmann,Francisco Bianchi,Rémi Bigot",2017
Wallay,Berni Goldblat,2016
Suntan,Argyris Papadimitropoulos,2016
Pleasant Days,Kornel Mundruczó,2002
Sans pitié,Byun Sung-hyun,2016
Grand froid,Gérard Pautonnier,2016
Rara,Pepa San Martin,2016
Le tragique destin des Romanov,Patrick Cabouat,2017
Embrasse-moi !,"Oceanerosemarie,Cyprien Vial",2016
I am not Madame Bovary,Xiaogang Feng,2016
Rodin,Jacques Doillon,2017
Au coeur des sentiments,Michael McKay,2012
Diamond Island,Davy Chou,2015
Bare,Natalia Leite,2014
Nasty Baby,Sebastián Silva,2015
Albert Nobbs,Rodrigo Garcia,2011
See you Next Tuesday,Drew Tobia,2013
Wùlu,Daouda Coulibaly,2016
"Shelly, en route vers l'or",Kevan Peterson,2015
Un ciel radieux,Nicolas Boukhrief,2017
Taklub,Brillante Mendoza,2015
Departure,Andrew Steggall,2015
We are the Flesh,Emiliano Rocha Minter,2016
Message from the King,Fabrice Du Welz,2016
"Opération 118 318, sévices clients",Julien Baillargeon,2010
Love Hunters,Ben Young,2016
Les 12 chiens de Noël 2,Kieth Merrill,2012
Extract,Mike Judge,2009
Paris pieds nus,"Fiona Gordon,Dominique Abel",2017
Belle du Seigneur,Glenio Bonder,2012
You'll Never Be Alone,Alex Anwandter,2016
Superargo contre Diabolikus,Nick Nostro,1966
August,Austin Chick,2008
Hôtel,Jessica Hausner,2004
Nos Patriotes,Gabriel Le Bomin,2017
Mud - Sur les rives du Mississippi,Jeff Nichols,2012
L'Espion qui venait du surgelé,Mario Bava,1966
The Box,Richard Kelly,2009
"Sigmaringen, le dernier refuge",Serge Moati,2017
Les Amants d'outre-tombe,Mario Caiano,1965
Rumba,"Dominique Abel,Fiona Gordon,Bruno Romy",2008
Les Feux de la rampe,Charlie Chaplin,1951
Belle Starr Story,Lina Wertmüller,1968
Churchill,Jonathan Teplitzky,2017
Le Christ aveugle,Christopher Murray,2016
Félicité,Alain Gomis,2016
La Colère d'un homme patient,Raúl Arévalo,2016
L'Amant d'un jour,Philippe Garrel,2017
Lovely Rita,Jessica Hausner,2001
Psiconautas,"Pedro Rivero,Alberto Vázquez",2015
Pawn,David A. Armstrong,2013
Saint Georges,Marco Martins,2016
Le Retour de Kriminal,Cerchio Fernando,1968
La tribu arc-en-ciel,Christopher R. Watson,2008
Fixeur,Adrian Sitaru,2016
Mercuriales,Virgil Vernier,2014
Kriminal,Umberto Lenzi,1966
Caprice,Emmanuel Mouret,2014
Blue Bird,Gust Van den Berghe,2011
"Emily Dickinson, a Quiet Passion",Terence Davies,2016
Je me tue à le dire,Xavier Seron,2016
"Clara, cet été-là",Patrick Grandperret,2003
Il Dono,Michelangelo Frammartino,2003
Pas de repos pour les braves,Alain Guiraudie,2003
Les Aventures fantastiques du baron Münchhausen,Josef von Baky,1943
Album de famille,Mehmet Can Mertoglu,2016
Shaun of the dead,Edgar Wright,2004
Le Dictateur,Charlie Chaplin,1939
Lettres de la guerre,Ivo Ferreira,2016
La planète sauvage,René Laloux,1973
Deux ou trois choses que je sais d'elle,Jean-Luc Godard,1966
La Vague,Dennis Gansel,2008
Le Juge et l'Assassin,Bertrand Tavernier,1975
Mister Freedom,William Klein,1969
Les Mauvaises herbes,Louis Bélanger,2016
Le Tambour - Director's Cut,Volker Schlöndorff,1979
Les Oubliés,Martin Zandvliet,2017
L'Amour en fuite,François Truffaut,1978
Lost Highway,David Lynch,1997
Les Quatre cents coups,François Truffaut,1958
Je danserai si je veux,Maysaloun Hamoud,2016
United States of Love,Tomasz Wasilewski (Woszczynski),2016
L'Arbre,Julie Bertuccelli,2010
Benny's video,Michael Haneke,1992
Quand passent les cigognes,Mikhaïl Kalatozov,1957
Her (Spike Jonze),Spike Jonze,2013
Sage Femme,Martin Provost,2017
Promised Land,Gus Van Sant,2012
Citoyen d'honneur,"Gastón Duprat,Mariano Cohn",2016
Pris de court,Emmanuelle Cuau,2017
De toutes mes forces,Chad Chenouga,2017
L'Homme aux mille visages,Alberto Rodríguez,2016
Personal Affairs,Maha Haj,2016
Twin Peaks : Fire Walk With Me,David Lynch,1992
L'Effroyable secret du Dr. Hichcock,Riccardo Freda,1962
Mutiny in Outer Space,"Hugo Grimaldi,Arthur C. Pierce",1965
Missile to the Moon,Richard E. Cunha,1958
Une Vie ailleurs,Olivier Peyon,2016
Le grand défi,Giorgio Capitani,1964
Destination planète Hydra,Pietro Francisci,1966
Le Cimetière des morts-vivants,Massimo Pupillo (alias Ralph Zucker),1965
The Lady And The Monster,George Sherman,1944
Les Derniers Parisiens,"Ekoué,Hamé",2015
Taekwondo,"Marco Berger,Martín Farina",2016
The Crime of Doctor Crespi,John H. Auer,1935
La Tour du diable,Jim O'Connolly,1972
La Montagne magique (Anca Damian),Anca Damian,2014
Baisers cachés,Didier Bivel,2016
Texas,Tonino Valerii,1969
De la Terre à la Lune,Byron Haskin,1958
Un Train pour Durango,Mario Caiano,1967
Corniche Kennedy,Dominique Cabrera,2016
Go Home,Jihane Chouaib,2015
Salt and Fire,Werner Herzog,2015
Les Confessions,Roberto Ando,2016
5 Danses,Alan Brown,2013
Beyond the Sea,Kevin Spacey,2004
Secrets et mensonges,Mike Leigh,1996
Rodéo,Gabriel Mascaro,2015
Alex & Diego,Chucho E. Quintero,2014
Sexual Tensions : Volatile,"Marco Berger,Marcelo Mónaco",2012
Hawaii,Marco Berger,2013
Le Kid,"Charlie Chaplin,Charles Chaplin",1919
Marions-nous !,Mary Agnes Donoghue,2015
Delicatessen,"Jean-Pierre Jeunet,Marc Caro,Marc Caro",1990
La Pianiste,Michael Haneke,2000
Code inconnu,Michael Haneke,2000
Nos Enfants,Ivano De Matteo,2014
The Fits,Anna Rose Holmer,2015
Canine,"Yorgos Lanthimos,Yorgos Lanthimos",2009
Tramontane,Vatche Boulghourjian,2016
Like Cattle Towards Glow,"Dennis Cooper,Zac Farley",2015
Les Secrets de Lynn,Ingo Haeb,2014
Le Parc,Damien Manivel,2016
La Cité des enfants perdus,"Marc Caro,Jean-Pierre Jeunet",1995
Valley of Stars,Mani Haghighi,2016
Séductions,Youssef Delara,2016
Le Dernier métro,François Truffaut,1980
Yoko,Franziska Buch,2012
La Double vie de Véronique,Krzysztof Kieslowski,1990
Faut pas lui dire,Solange Cicurel,2016
Les Temps modernes,Charlie Chaplin,1936
Gerry,Gus Van Sant,2002
Laurence Anyways,Xavier Dolan,2012
Yitzhak Rabin : Chronique d'un assassinat,Amos Gitai,2016
Souvenir,Bavo Defurne,2015
Une jeune fille à la dérive,Kirirô Urayama,1963
Les Enfants de la chance,Malik Chibane,2016
Fais de beaux rêves,Marco Bellocchio,2015
Boy Culture,Q. Allan Brocka,2006
L'Elan,Etienne Labroue,2014
Esteros,Papu Curotto,2016
Tanna,"Martin Butler,Bentley Dean",2015
La Prunelle de mes yeux,Axelle Ropert,2015
Fish Tank,Andrea Arnold,2009
Paranoid Park,Gus Van Sant,2007
Sur la route,Walter Salles,2012
Shame,"Steve McQueen II,Steve McQueen (II)",2011
Les Amours Imaginaires,"Xavier Dolan,Xavier Dolan",2010
Cigarettes et chocolat chaud,Sophie Reine,2016
My Blueberry Nights,Wong Kar-Wai,2007
Jules et Jim,François Truffaut,1961
Personal Shopper,Olivier Assayas,2015
Beginners,Mike Mills,2010
Cosmos,"Jennifer Alleyn,Manon Briand,Marie-Julie Dallaire,André Turpin,Denis Villeneuve,Arto Paragamian",1997
Une semaine et un jour,Asaph Polonsky,2016
Une Semaine ordinaire,Peter Glanz,2014
L'Exercice de l'Etat,Pierre Schoeller,2011
Looking for Simon,Jan Krüger,2011
Sex Doll,Sylvie Verheyde,2016
Une Vie,Stéphane Brizé,2016
Comrades,Bill Douglas,1986
Theeb : La naissance d'un chef,Naji Abu Nowar,2014
Stratton,Simon West,2017
Carole Matthieu,Louis-Julien Petit,2016
Le Gang des Antillais,Jean-Claude Barny,2015
La bête curieuse,Laurent Perreau,2016
Le Disciple,Emilio Ruiz Barrachina,2010
Le Disciple,Kirill Serebrennikov,2015
Planetarium,"Rebecca Zlotowski,Rebecca Zlotowski",2016
Cris et chuchotements,Ingmar Bergman,1971
Apnée,Jean-Christophe Meurisse,2016
Naissance des pieuvres,Céline Sciamma,2007
El Cielo dividido,Julián Hernández,2006
Les Inshortables Volume 3,"Dustin Shroff,Steven Liang,Søren Green,Madeline Kelly,Edgar A. Romero,Christin Freitag,Jason Karman",2016
L'Anniversaire de David,Marco Filiberti,2009
L'Attente,Piero Messina,2015
La Quatrième Voie,Gurvinder Singh,2015
Le Teckel,Todd Solondz,2016
Les Autres,Alejandro Amenábar,2001
Willy 1er,"Ludovic Boukherma,Zoran Boukherma,Marielle Gautier,Hugo P. Thomas",2015
Olli Mäki,Juho Kuosmanen,2016
L'Attrape-rêves,Claudia Llosa,2013
Soy Nero,Rafi Pitts,2016
L'Olivier,Icíar Bollaín,2016
Nocturama,Bertrand Bonello,2016
Au Loin s'en vont les nuages,Aki Kaurismäki,1995
"Elsie, monogame en série","Christina Zeidler,John Mitchell",2015
"Léon Morin, prêtre",Jean-Pierre Melville,1961
Peur sur la ville,Henri Verneuil,1975
Only Lovers Left Alive,Jim Jarmusch,2012
Pierrot le Fou,Jean-Luc Godard,1965
La Danseuse,Stéphanie Di Giusto,2016
Le Corps de mon ennemi,Henri Verneuil,1976
Les Démons,Philippe Lesage,2015
Mercenaire,Sacha Wolff,2015
L'Incorrigible,Philippe de Broca,1975
L'Invitation,Michaël Cohen,2015
Jitters,Baldvin Zophoníasson,2010
Je suis à toi,David Lambert,2014
Elena,Nicole Conn,2011
Entre vous deux,Adam Salky,2009
Grains de sable,Ryosuke Hashiguchi,1995
Man on High Heels - Le Flic aux talons hauts,Jin Jang,2014
Chouf,Karim Dridi,2015
C'est l'amour,Paul Vecchiali,2015
Poesía sin Fin,Alejandro Jodorowsky,2016
Cartouche,Philippe de Broca,1962
Moderato Cantabile,Peter Brook,1960
Les Acteurs,Bertrand Blier,2000
Le Quai des brumes,Marcel Carné,1938
"Mimosas, la voie de l'Atlas",Oliver Laxe,2016
El Acompañante,Pavel Giroud,2015
Aventure d'un soir,Max Nichols,2014
Malgré la nuit,Philippe Grandrieux,2014
La Taularde,Audrey Estrougo,2015
3 Coeurs,Benoît Jacquot,2013
Voir du pays,"Delphine Coulin,Muriel Coulin",2016
12 Years a Slave,"Steve McQueen,Steve McQueen (II)",2014
The World Unseen,Shamim Sarif,2008
Fronteras,Mikel Rueda,2014
Equals,Drake Doremus,2015
Elektro Mathematrix,Blanca Li,2015
Les Parasites,Philippe de Chauveron,1998
Ballerina,"Eric Summer,Eric Warin",2016
The Limits of Control,Jim Jarmusch,2009
Mary et Max,Adam Elliot,2008
L'île aux pirates,Renny Harlin,1994
La Nouvelle guerre des boutons,Christophe Barratier,2011
Frayeurs,Lucio Fulci,1980
Poulet aux prunes,"Marjane Satrapi,Vincent Paronnaud",2011
Seoul Station,Sang-ho Yeon,2016
Dernier Train pour Busan,Sang-ho Yeon,2016
Les Inshortables Volume 1,"Anna Nolskog,Lazlo Tonk,Dylan Tonk,Filippo Demarchi,Benjamin Chimoy,Anthony Schatteman,Elin Övergaard",2016
Les Inshortables Volume 2,"Austin Wong,Peter Knegt,Stephen Dunn,Allan Deberton,Rafael Aidar,Diego Carvalho Sá,Jerell Rosales,Rodrigo Bellot",2016
Le Cancre,Paul Vecchiali,2016
Mirages,Talal Selhami,2010
Illégitime,Adrian Sitaru,2016
Parenthèse,Bernard Tanguy,2014
"Stefan Zweig, adieu l'Europe",Maria Schrader,2015
"Snowpiercer, Le Transperceneige",Bong  Joon-ho,2012
Parasol,Valéry Rosier,2015
Une nouvelle année,Oksana Bychkova,2014
Black Stone,Gyeong-tae ROH,2014
Hustler White,"Rick Castro,Bruce La Bruce",1996
"Super 8 1/2, une biographie édifiante",Bruce La Bruce,1993
Le Professeur de violon,Sérgio Machado,2015
No Skin Off My Ass,Bruce La Bruce,1990
Les Poings dans les poches,Marco Bellocchio,1965
Irréprochable,Sébastien Marnier,2015
Guibord s'en va-t-en guerre,Philippe Falardeau,2015
A Esmorga,Ignacio Vilar,2014
"Chala, une enfance cubaine",Ernesto Daranas,2014
Le passe-muraille,Dante Desarthe,2016
Déesses indiennes en colère,Pan Nalin,2015
Dyke Hard,Bitte Andersson,2014
Carmina !,Paco León,2014
Billy & Me,"Guy Edmonds,Matt Zeremes",2015
La Dernière lettre,Frederick Wiseman,2001
"Dieu, ma mère et moi",Federico Veiroj,2015
Tokyo sonata,Kiyoshi Kurosawa,2007
Les Filles au Moyen Âge,Hubert Viel,2014
Paulina,Santiago Mitre,2015
Le Fils de Joseph,Eugène Green,2016
Diana,Oliver Hirschbiegel,2013
John From,João Nicolau,2015
Sparrows,Rúnar Rúnarsson,2015
Juillet Août,Diastème,2016
R100,Hitoshi Matsumoto,2013
La Panthère Noire,Ian Merrick,1977
The Assassin,Hsiao-Hsien Hou,2015
Irréversible,Gaspar Noé,2002
Captain Fantastic,Matt Ross,2016
Marie et les naufragés,"Sebastien Betbeder,Sébastien Betbeder",2015
Tout de suite maintenant,Pascal Bonitzer,2016
Desierto,Jonás Cuarón,2015
Viva,Paddy Breathnach,2015
L'Histoire officielle,Luis Puenzo,1984
Tous les chats sont gris,Savina Dellicour,2014
Bella e perduta,Pietro Marcello,2015
Wake in Fright - Réveil dans la terreur,Ted Kotcheff,1971
Baden Baden,Rachel Lang,2016
Théo et Hugo dans le même bateau,"Olivier Ducastel,Jacques Martineau",2016
Layla in the Sky,Micah Magee,2015
Sarah préfère la course,Chloé Robichaud,2013
L'Idéal,Frédéric Beigbeder,2016
MaMa,Julio Medem,2015
Love & Friendship,Whit Stillman,2016
Beira-Mar ou l'âge des premières fois,"Marcio Reolon,Filipe Matzembacher",2015
New York 1997,John Carpenter,1980
La Loi de la jungle,Antonin Peretjatko,2016
L'Annonce,Julie Lopes-Curval,2015
Ascenseur pour l'échafaud,Louis Malle,1957
Callao,Tommy Weber,2015
Astérix et Obélix : au service de sa Majesté,Laurent Tirard,2012
Men & Chicken,Anders Thomas Jensen,2015
Mr. Holmes,Bill Condon,2015
Le petit garçon,Nagisa Oshima,1969
Maggie a un plan,Rebecca Miller,2015
Place Vendôme,Nicole Garcia,1998
The Wicker Man,Robin Hardy,1973
Couleur de peau : Miel,"Jung Sik-jun,Laurent Boileau",2011
Les Ardennes,Robin Pront,2015
Tête de chien,Tommy Weber,2015
Tempête,Samuel Collardey,2015
Remember,Atom Egoyan,2014
Samba,Olivier Nakache,2013
Les Producteurs,Mel Brooks,1967
L'Étage du dessous,Radu Muntean,2015
La Chambre d'en face,Michael Noer,2015
Love.net,Ilian Djevelekov,2011
Ma vie avec Liberace,Steven Soderbergh,2011
Les Compagnons de la marguerite,Jean-Pierre Mocky,1966
Dégradé,"Tarzan Nasser,Arab Nasser",2015
Les Hommes de l'ombre,Lee Tamahori,1995
Le labyrinthe de Pan,Guillermo del Toro,2006
Chacun sa nuit,"Pascal Arnold,Jean-Marc Barr",2005
El Premio,Paula Markovitch,2011
Je ne suis pas mort,Mehdi Ben Attia,2011
Good Luck Algeria,Farid Bentoumi,2016
D'une pierre deux coups,Fejria Deliba,2016
Des nouvelles de la planète Mars,Dominik Moll,2016
L'Avenir,Mia Hansen-Løve,2016
La Route d'Istanbul,Rachid Bouchareb,2016
New Territories,Fabianny Deschamps,2014
Vive la République !,Karel Kachyna,1965
Sky,Fabienne Berthaud,2015
A Bigger Splash,Luca Guadagnino,2015
De douces paroles,Shemi Zarhin,2014
L'Arche russe,Alexandre Sokourov,2002
Suite armoricaine,Pascale Breton,2015
Hitler à Hollywood,Frédéric Sojcher,2010
18 jours,"Yousry Nasrallah,Marwan Hamed,Ahmad Alaa,Mariam Abou Ouf,Mohamed Aly,Ahmad Abdalla,Sherif El Bendari,Kamla Abou Zikri,Khaled Marei,Sherif Arafa",2011
Octubre,"Diego Vega Vidal,Daniel Vega Vidal",2010
Blowfly Park,Jens Östberg,2014
Keeper,Guillaume Senez,2015
The Grandmaster,Wong Kar-Wai,2012
1 journée,Jacob Berger,2007
Hill of Freedom,Hong Sang-soo,2014
Quand je ne dors pas,Tommy Weber,2014
"Un jour avec, un jour sans",Hong Sang-soo,2015
Sunhi,Hong Sang-soo,2013
L'Adversaire,Nicole Garcia,2001
Nahid,Ida Panahandeh,2014
Je compte sur vous,Pascal Elbé,2015
L for Leisure,"Whitney Horn,Lev Kalman",2014
Fever,Raphaël Neal,2014
Triple 9,John Hillcoat,2015
Sils Maria,Olivier Assayas,2014
Cut Sleeve Boys,Ray Yeung,2006
L'Histoire du géant timide,Dagur Kári,2015
Cold Fish,Sono Sion,2010
Eva,Kike Maíllo,2011
Enter the Void,Gaspar Noé,2008
Peur de rien,Danielle Arbid,2014
El Clan,Pablo Trapero,2015
La femme en vert,Roy William Neill,1945
Natür Therapy,Ole Giæver,2014
"Espion, lève-toi",Yves Boisset,1982
Le Trésor,Corneliu Porumboiu,2014
Les Héritiers,Stefan Ruzowitzky,1998
Yes Nurse! No Nurse!,Pieter Kramer,2002
En la gama,Claudio Marcone,2015
Alias Maria,José Luis Rugeles,2015
Dorothy,Agnès Merlet,2007
Préjudice,Antoine Cuypers,2015
45 ans,Andrew Haigh,2014
Le Temps des rêves,Andreas Dresen,2013
La Chambre interdite,"Guy Maddin,Evan Johnson",2015
"Deux Rémi, deux",Pierre Léon,2016
Ruined Heart : Another Lovestory Between a Criminal & a Whore,Khavn de la Cruz,2014
Aaaaaaaah !,Steve Oram,2015
Avalon,Mamoru Oshii,2000
The Brown Bunny,Vincent Gallo,2004
4h44 Dernier Jour sur Terre,Abel Ferrara,2011
Les Délices de Tokyo,Naomi Kawase,2015
Le colonel Chabert,Yves Angelo,1994
"Salé, Sucré",Ang Lee,1994
La Bête humaine,Jean Renoir,1938
Jeux interdits,René Clément,1952
